category,question,answer
order,how can i place an order,to place an order please follow these steps1 select the product youd like to buy and check availability at your preferred pincode2 add products to your cart or just hit buy now 3 choose or add delivery address use a preferred payment mode and confirm the order
order,i have a complaint about the courier executive who came to deliver my order,you can contact our customer support team with the details and we will get in touch with the courier service provider to resolve your complaint
order,what should i do if a service centre denied my request to repair the product,please contact our customer support with the service centre details so that we can look into this
order,can i get my order delivered faster,your order will get delivered on or before the delivery date promised at the time of placing the order
order,how is a business day different from a regular day,business days are otherwise known as working days of the week the expected date of delivery is calculated based on business days typically these include monday through saturday public holidays and sundays are usually not considered
order,what is the estimated delivery time,sellers generally procure and ship the items within the time specified on the product page business days exclude public holidays and sundays estimated delivery time depends on the following factors the seller offering the product products availability with the seller the destination to which you want the order shipped to and location of the selleryou can check the expected delivery date of your orders on the my orders section of your flipkart account on our website app or mobile site
order,how can i trust that the groceries that will be delivered are quality checked and fresh,groceries on flipkart are available from top brands such as hul pg itc etc which are renowned for their quality products seller also checks the freshness of groceries when they receive the stock from vendors and before the dispatch of items in order to ensure that only the best produce and packaged groceries reach you 
order,my package shows as delivered but i cant find it what should i do,if your tracking information shows that your package was delivered but you cant find it check your phone for any notification about attempted deliverysee if any of your neighboursfriendsrelativeshouse ownersecurity guard has collected your product on your behalfwait until the end of the day sometimes packages can show as delivered while still in transit in the unlikely event of you still not being able to locate your item please contact us and we will be happy to help
order,why was my package not delivered,sometimes a package cannot be delivered due to one of the following reasons incorrect address if the address is incorrect or outdated the package is usually returned to the seller by the courier service provider or the unintended recipient please doublecheck your address carefully when placing a new order to remove an outdated or incorrect address from your account go to my account  my addresses click on the 3dot button beside the address you want to modify and select edit and then choose save changesother address problems in rare cases it is also possible that the address label was difficult to decipher during the shipping and handling process or that the courier service left the package at a different address than what was printed on the labelfailed delivery attempts most of the sellers partnered courier service providers make more than one attempt to deliver a package if nobody is available to accept the delivery after multiple attempts the package is returned to the sellerdamaged during transit if a package is damaged on its way to you the courier service provider will return it to the seller without attempting deliverynote a package once returned to the seller cannot be delivered again by the courier service provider please place a new order on our website or app if you would still like to purchase the item
order,what do the different order statuses in my orders mean,the different order statuses are as mentioned belowapproved order you have placed for an item is confirmed by the sellerready to ship your item is packed and ready for pick up by a courier service provider dispatched your item has been picked up from the seller by the courier service provider and is on its way to a logistic facilityshipped your item is on its way to youout for delivery a wish master is out to deliver your orderdelivered your item has been deliveredreturn requested you have created a return request for the item which is pending confirmation from the sellerreturned you have returned the item for refundreplacementexchange
order,what is gstin invoicing feature,through gstin invoicing feature customers can enter their business entity details and gstin associated with the business entity in order to receive a tax invoice containing these details to claim input tax credit please note this is available on select products for business purchases sold by participating sellers
order,who are all eligible for this gstin feature,customers that have gstin registered for their business entity can avail this feature please note that this is currently available on select products for business purchases sold by participating sellers customers can enter gstin and business entity name while placing the order to receive a tax invoice containing these details to claim input tax credit
cancellations and returns,if i request for a replacement when will i get it,visit my orders to check the status of your replacementin most locations the replacement item is delivered to you at the time of pickup in all other areas the replacement is initiated after the originally delivered item is picked up please check the sms  email we send you for your replacement request for more details
cancellations and returns,which products are not eligible for returns,the following table contains a list of products that are not eligible for returns as per the sellers returns policycategoryproducts that cant be returnedauto accessoriesadditives air fresheners brighteners cleaners bikecar stickers degreasers dentscratch removers filler putty headlight vinyl films liquid solutions lubricants polish power steering fluids sealants oils and waxautomobilescars mopeds motorcycles and scootersbath and spabath bubblesaltspongewash body wash loofahs scrubs shampoos and soapsbaby carebottle nipples breast nipple care breast pumps diapers ear syringes nappy wet reminder wipes and wipe warmerscleaning productscleaning gels detergents detergent pods fabric wash products surface cleaners stain removers and washing barspowdercomputer accessoriesblankeducational media cdsdvds ink toners music movies and softwarefood and nutritioncanned food condiments drinks fruits health supplements meat seafood syrups vegetables and other edible productsfashionbaby dolls clothing freebies lingerie washbags shapewear socks stockings and swimsuitsfootwear accessoriesoils glue grease socks shoe deodorantspolish creamssprays and waxgardening productsplant saplings plant seeds and soil manurehealth careantiseptic band aid body pain relief eye drops first aid tape glucometer lancetstrip healthcare devices and kits medical dressinggloves and ph test striphome productsadhesives barbeque wood birdinsect repellent contact cement crack fillers inks guitaryoyo friction stickers marker refills mosquito coilvaporiservaporiser refills naphthalene balls scubasmokingpipe mouthpieces and sprayshygienecannula contact lens ehookah fake moustache female urination devices menstrual cups needles panty liners shaving products smoking patch straws sweat pads tampons teeth whitening productswipes tissues toilet tissue aid toilet rolls and women intimate careinnerwearbra accessories briefs boxers lingerie sets panty garter trunks and vestsjewellerycoinsmusic instrument accessoriesmouthpiece cappadset oils and polishparty suppliesballoons candles cutouts decoration articles and whistlesfestive supplieshookah charcoalflavormouthtip incense sticks and holirangoli colorpersonal careconditioners creams deodorants electric ear cleaners eyebroweyelashhair styling products eye mask face wash face carefairness products fragrance fresheners gels hair care kajal lens solution lip plumperstain blackheadmakeupnail paint removers mascara mehendi nail sanding pad oils oral hygiene products perfumes handtoothbrush sanitizers serums talc sunscreen tanning liquid tattoo toners and wigspet suppliesaquarium consumables hair styling health caremedicinal products horse girthgrooming kitbraid tail baghaylinimentpoultice inhaler masks litter box enclosures litter scoops pet chew pet foodtreat pet pad pet hygienepersonal care products poultice tail wraps waste bags and water troughssexual wellnesscondoms fertility kitsupplement lubricants pregnancy kits sexual massagers sexualpleasure enhancement products and vaginal dilatorskindly always check a products returns policy on the product page click here to view the returns policy
cancellations and returns,can items be returned after the time period mentioned in the sellers returns policy,no sellers will not be able to accept returns after the time period mentioned in the sellers returns policy
cancellations and returns,do i have to return the freebie when i return a product,yes the freebie has to be returned along with the product
cancellations and returns,how do returns work,you can raise a request to return your items with these simple steps 1 log into your flipkart account2 go to my orders3 click on return against the item you wish to return or exchange4 fill in the details and raise a return request once you raise a request youll get an email and sms confirming that your request is being processed based on the item your request may be automatically approved or you may be contacted for more details if the request is approved the item will be picked up after which you will get a replacement or refund you can also track the status of your return request instantly from the my orders section of your flipkart account
cancellations and returns,i see the cancel button but i cant click on it why,a greyed out and disabled cancel button can mean any one of the following1 the item has been delivered alreadyor2 the item is nonrefundable eg gift card
cancellations and returns,what is the buyer protection policy,the buyer protection policy mediates buyerseller disputes in case a seller declines your request for a return of an item and you are not convinced with the reason given you can write to us at resolutionflipkartcom for buyer protection you can dispute the resolution that the seller has shared for your issue until 45 days from the date of delivery and concern is looked into by us on a casetocase basis
cancellations and returns,what should i do if i have an issue with my product after the return period,you can get in touch with the brand or an authorised service centre of the brand to claim the warranty for your product wherever applicable
cancellations and returns,how can i return or exchange an item,to returnexchange your order follow these simple steps 1 go to my orders 2 choose the item you wish to return or exchange 3 fill in the details 4 choose request return   
cancellations and returns,when is a return of an item not possible,sellers cannot accept returns of items in the following cases1 when an item is damaged because of use or when it is not in the same condition as you received it2 when any consumable item has been used or installed3 when anything is missing from the package youve received including price tags labels original packing freebies  accessories 4 when nonreturnable items are involved such as innerwear lingerie etc5 when items are tampered with or have missing serial numbers
cancellations and returns,how can i know the status of my refund,you can visit my orders to know the status of your refundfor orders cancelled before shipping refunds are processed immediately if the order has been shipped refund will be processed as soon as the courier service provider confirms the return of the items
cancellations and returns,what are the modes of refund available after cancellation,the different refund modes available are1 phonepe wallet  available for orders with select sellers  you will get this option for eligible orders during cancellation2 back to source  available for orders with all sellers the amount is refunded to the payment mode that was originally used to pay for the order3 neft transfer  available for all cashondelivery orders as per policy cash refunds are not possible
cancellations and returns,when are refunds given,refunds are given when the seller cannot provide a replacement a dispute has been ruled in your favour inline with buyer protection sellers allow refunds on select categories under certain conditionsplease check the sellers returns policy on the product page for more details
cancellations and returns,i ordered a wrong item can i return it,the sellers return policies dont support the return of items ordered wrongly you can refer the respective sellers returns policy on the product page
cancellations and returns,what should i do if i find the package open or tampered on delivery,you can request for the item to be replaced by visiting my orders use the return option  fill out the details of the issue so that we can help you
cancellations and returns,can i change the address for the pickup the of items in my order,if the pincode of the new address is serviceable for pickup the address can be changed while creating the return the address cannot be changed in case the new address is not serviceable
cancellations and returns,why have i been asked to ship the item,when pickup facility is not available for your location as per the courier service providers you may be asked to ship the item back to the seller since the seller can arrange for a refund or a replacement only after the item reaches them please make sure that the item is sent to the address mentioned in the return related email within 30 days of the email being sent to youthe seller may not be able to proceed with the return request if the item does not reach the specified address within 30 days
cancellations and returns,what is the pickup process,once your return or replacement or exchange request is accepted the pickup of the originally delivered product will be scheduled an sms with more details will be sent to you on the day of the pickupin cases where pickup service is not available from the courier service providers at your location you may be asked to ship the item back to the seller within 30 days of the return related email being sent to you
cancellations and returns,i have requested for a return for my item when will it happen,you can now track the status of your return easily right from your flipkart account or mobile app just visit the my orders page to see its status along with the date of pickup and status of your refund if applicableyou will also receive an email  sms with the details of your return
cancellations and returns,i have requested a replacement when will i get it,you may visit my orders to check the status of your replacement in most locations the replacement item is delivered to you at the time of pickup in all other areas the replacement is initiated after the originally delivered item is picked up please check the sms  email that will be sent to you for your replacement request for more details
cancellations and returns,ive still not received the refund in my bank account,if you have received a mail from us confirming your refund request it means that the refund has been initiated you can also contact your bank with the arn you would have received for an update on the status of your refundin the rare event of the amount not being credited by the date promised you can contact us as we will work with the bank to get it done
cancellations and returns,what are the refund timelines if i cancel or return a product,the refund timelines will depend on the payment modes as listed belowdebit card  79 business dayscredit  79 business daysnetbanking  37 business dayscod  imps 1 business daysemi standardno costdebit card  7 9 business daysflipkart pay later  24 to 48 hoursgift card  24 hoursphonepe phonepe wallet  24 hours phonepe upi  1 business day phonepe creditdebit card  7 business daysnote refunds will be credited to the payment source used at the time of placing an orderthe mode of refund in case of payment through cash on delivery will be imps 
cancellations and returns,how will i get my refund for returning an item i paid for using cash on delivery mode,for orders placed using cash on delivery as the payment mode refunds can be processed to your bank account via immediate payment service imps you can update the details of the bank account where you would like to receive the refund while creating the return request for an itemyou will need to update following information for the seller to process a refund to your accountthe bank account numberifsc codeaccount holders namebank branchbank nameimps refunds will typically be processed in one business day by sellers
cancellations and returns,i have not received the reimbursement of my courier charges what should i do,please follow the belowmentioned steps on our website to upload a scanned copy of the receipt from the courier service provider so that we can request the seller for a reimbursement go to flipkart help center and select the relevant order for which the refund has been requested from the issue types choose others and select email us now click on the attachment icon and select the imagedocument you wish to upload please include the return id in your email and click send emailafter the verification the amount will be refunded to you as a gift card in your flipkart accountnote this amount is not withdrawable to your bank account
cancellations and returns,how will i get my refund for returning an item i paid for with cash on delivery,for your cash on delivery order you will receive the refund in the form of neft please update your bank account details after you choose this option
cancellations and returns,how long does it take to cancel an order,cancellation of items in an order happens immediately if the order hasnt been shipped yet by the seller if your order has been shipped it will be cancelled as soon as the courier service confirms that the shipment is being returned to the seller orders from certain categories cannot be cancelled after 24 hours please check the product page for more details
cancellations and returns,what are the checks done for an item that im returning,during pickup your product will be checked for the following conditionscorrect productimei name image brand serial number article number bar code should match and mrp tag should be undetached and clearly visiblecomplete productall inthebox accessories like remote control starter kits instruction manuals chargers headphones etc freebies and combos if any should be presentunused productthe product should be unused unwashed unsoiled without any stains and with nontampered quality check seals warranty seals wherever applicable before returning a mobile laptop tablet the device should be formatted and screen lock pin pattern or fingerprint must be disabled icloud lock must be disabled and icloud deactivation done for apple devicesundamaged productthe product including sim trays charging port headphone port backpanel etc should be undamaged and without any scratches dents tears or holesundamaged packagingproducts original packaging box should be undamagedthe field executive may refuse to accept the return if any of the above conditions are not metfor any products for which a refund is to be given the refund will be processed once the returned product has been received by the seller view a complete list of all nonreturnable products here
cancellations and returns,why do i see a return fee applicable to the order,if your return requests are significantly higher than most customers a return fee will apply to your order this is levied to compensate sellers for the huge losses they incur as part of each return request in case of an issue with the item you can choose to exchange or replace it instead of returning it to avoid these fees for more details you can click know more beside the return fee information on the app at the time of creating a return request
cancellations and returns,how is the return fee determined,the return fee is determined based on the selling price of the product lower the selling price of the product lower the return fee and vice versa
payment,what is flipkarts credit card emi payment option,with flipkarts credit card emi option you can choose to pay in easy installments of 3 6 9 12 18 or 24 months with credit cards from the following bankshdfc    citi    icici    kotak    axis    induslnd    sbi    standard chartered    hsbc    18  24 months emi options are available from select banks only please refer to the table below for more details                banks                            supports 18  24 months tenure                            minimum order value to avail 18  24 months emi options                            hdfc                            yes                             10000                            citi                            yes                             10000                            icici                            yes                             10000                            kotak                            yes                             4000                            axis                            yes                             4000                            indusind                            yes                             4000                            sbi                            no                            na                            standard chartered                            yes                             4000                            hsbc                            no                            na            
payment,how can i order for large quantities of the product as part of a corporate order,you can write to corporatesalesflipkartcom for your corporate gifting requirements
payment,how can i label my saved cards,you can specify a card label at the time of saving a card on flipkart through the my account section you can also addedit the label anytime through my saved cards in the my account section on flipkart
payment,what is a card label,a card label is a name you give to your card while saving it on flipkart this helps in identifying the card at the time of making a payment even if you dont specify a card label you can still identify the card by the first 2 and last 4 digits of the card number which are visible to you when the saved card is shown
payment,what is the save card feature,the save card option lets you save your creditdebit cards on your flipkart account this helps you complete your transactions in a quick and easy way
payment,how does flipkart prevent card fraud,online payments are monitored by our systems for any suspicious activity and some transactions are verified through extensive checks if we find that they are not authorised by the owner of the card when were not able to rule fraud out in rare cases the transaction is kept on hold and we ask the shopper to share relevant proofs this is done to make sure that the transaction is genuine and authorised
payment,how do i pay using flipkarts credit card emi option, when youre prompted to choose a payment method for your order select emi and then choose the bank and the plan you would prefer enter your credit card and follow the prompts once the payment is authorised your order will be processed and shippedyoull need to pay the total amount in the predetermined number of instalments as per your credit card billing cycles please note an amount equivalent to your card limit will be blocked on the day of the transaction your card limit will be reset with every successful emi payment 
payment,how is my emi debited,if you have paid for your order using the emi payment mode the full amount will be charged to your card the day of the transaction within 7 days you will see a credit for the full amount the first emi charge will occur subsequently if your cards billing date falls within those 7 working days you need to pay only the emi amount to the bank
payment,i have a query about the emi charge what should i do,you can get in touch with your card issuing bank to know about emi transaction charges as they may vary across banks
payment,what are the interest rates for the credit card emi plans,you will see the actual interest rates and the amount charged by the bank for your credit card emi plan during checkout after choosing the emi payment method while placing your order
payment,which credit cards are eligible for emi,emi is available for credit cards from the following banksicicicitisbihdfckotakstandard charteredhsbcaxisindusindplease check the specific product page for more details as this list is updated frequently
payment,can i pay with any credit card,you can choose to pay on flipkart with any visa mastercard or american express credit card issued in india
payment,can i use any debit card to pay for my order,you can choose to pay for your order on flipkart with any visa mastercard or maestro debit card
payment,can i use the cash on delivery payment option for every product i buy on flipkart,the availability of cash on delivery option depends on factors like the delivery pincode type of products etc please enter your pincode on the product page to check if cod is available at your location if this option is available for your pincode you can shop for products up to 49999 using this
payment,how can i get the 3d secure password for my creditdebit card,you can get a 3d secure password by registering your creditdebit card on your banks website
payment,how can i pay with a saved creditdebit card,your saved cards can be seen when you choose the credit or debit card option to pay for your order enter the cvv number of that card we do not store it and click on the pay button youll also have to enter the cards 3d secure password to complete the transaction
payment,how can i pay for my order,you can choose to pay for an order using any of the below methods cash on deliverynet bankinggift cardphonepe walletvisa mastercard maestro and american express credit or debit cards issued in india and 21 other countriesto know more about payments click here httpwwwflipkartcomshelppayments
payment,how do i pay for my cashondelivery order if i choose to pick up the product from the pickup store,you can directly pay for your order at the pickup outlet for cash on delivery orders
payment,how do i pay using a credit or debit card,you may choose the credit card or debit card option to pay during checkout and enter the details when prompted you would need to keep your card number expiry date three digit cvv number ready which you can find on your card for added security youll also need to use your cards online password that is verified by visa mastercard secure code etc
payment,how does the 3d secure password add security to my online transactions,the 3d secure password is something that only you would know ensuring no one else can use your card to shop online
payment,if i have a saved card on flipkart will i be able to use a new card for my next payment,yes even if youve saved your card details on flipkart you always have the option to use any other creditdebit card to pay
payment,what is a 3d secure password,a 3d secure password adds an extra layer of security through identity verification for your online credit  debit card transactions visa  mastercard
payment,what is the amount i can shop for with cash on delivery payment option,you can shop up to rs 49999 using cash on delivery cod option
payment,what is cash on delivery,cash on delivery is a mode of payment in which you can pay cash at the time of delivery of your order you can also pay using a credit card debit card if the courier executive carries a swiping machine
payment,why is my card being saved on flipkart,its quicker you can save the hassle of typing in the complete card information every time you shop on flipkart by saving your card details you can make your payment by selecting the saved card of your choice at checkout while this is obviously faster it is also very secure
payment,what all card information does flipkart store,we only store your card number cardholder name and card expiry date we do not store your cards cvv number or the 3d secure password flipkart stores your card information only when you select the optionwe only store your card number cardholder name and card expiry date we do not store your cards cvv number or the 3d secure password flipkart stores your card information only when you select the option
payment,can i delete my saved cards,yes you can delete your saved cards at any given time
payment,how many cards can i save on flipkart,as of now you can save upto 10 cards using the save card option
payment,what cards can i save on flipkart,you can save any credit or debit visa mastercard maestro or american express card issued by a bank in india
payment,how do i save my cards on flipkart,your card is saved automatically when you make a successful payment by entering the card details while purchasing on flipkart alternatively you can also save your card by navigating to my accounts  payments  my saved cards to save the card youll need the card number and the expiry date you can also add a card label to better identify a saved card
payment,how do i make a payment using a saved card,you can view your saved cards by selecting the creditdebit card payment option at checkout select a saved card that you wish to use to make the payment enter the cvv number of that card we do not store it and click the pay button to initiate your payment you will also have to enter the cards 3d secure password to complete the transaction
payment,if i have a saved card on flipkart will i be able to use a new card for my next payment,yes even if you have saved your card on flipkart you always have the option to use any other creditdebit card for making a payment
payment,how can i delete my saved card,you can delete your saved card information on flipkart from the my account section go to my account  payments  my saved cards and you will be able to see your saved cards you can then click on remove this card
payment,what is a card label,a card label is the name you give to your card while saving it on flipkart this helps in identifying the card at the time of making a payment even if you do not specify a card label you will still be able to identify the card by the first 2 and last 4 digits of your card number which will be visible to you when the saved card is displayed
payment,how can i add a card label to my saved card,you can specify a card label at the time of saving a card on flipkart through the my account section if you did not specify any card label at the time of saving the card you can still addedit the label anytime through the my saved cards menu in the my account section on flipkart
payment,what are the prerequisites for using the saved card feature,you should have a registered account with flipkart to which you should be logged in due to security reasons this feature is not available during guest checkout
payment,can i use a saved card to make an emi payment,yes if your saved credit card is eligible for your banks emi program then you can use it for making an emi payment
payment,i had opted to save my card at the time of payment but my card was not saved why,if you choose to save your card at the time of making the payment then the only time your card may not get saved is when the payment fails due to card being invalid if the payment was successful and the card was not saved then you may contact us and we will help you out
payment,i typed an incorrect card number by mistake when adding my card how do i correct it,if you typed an incorrect card number name or card expiry date you need to first delete the entered details by clicking on remove this card and then add the card again with the correct details
payment,can i use my saved cards for making a payment on flipkarts mobile siteapp,absolutely any cards that you save on flipkarts website can be used on flipkart app and mobile site as well you can also save cards through your mobile and use them on flipkarts website
payment,what if i do not want my cards to be imported,you can manage these cards from the saved cards section on phonepe or flipkart if you wish to delete a card from both phonepe and flipkart you need to perform this operation independently in both the applications
payment,can i use creditdebit card to pay on flipkart through the flipkart app,yes you can use your debitcredit card to shop on our mobile app website and mobile site too
payment,can i combine the balance on my gift cards with cash on delivery to pay for an order,cash on delivery payments cannot be combined with other payments modes
bajaj finserv emi,can i cancel my emi after ive placed the order using the bajaj finserv payment option,since payment modes cannot be changed after an order is placed to cancel your emi your order will need to be cancelled certain items cannot be cancelled after 24 hours of placing the order
bajaj finserv emi,can i get the refund for the item to any other mode if i have paid using the bajaj finserv payment option,no the refund for an order placed using the bajaj finserv payment mode can only be done to the bank account linked to the bajaj finserv emi card
bajaj finserv emi,do i need to make a down payment to buy an item using the bajaj finserv emi payment mode,no a down payment is not required for buying an item using the bajaj finserv emi option
bajaj finserv emi,how can i get a bajaj finserv emi card,you can check the eligibility and process of getting a bajaj finserv no cost emi card on their website wwwbajajfinservinfinance
bajaj finserv emi,i chose the wrong emi plan while making the payment using bajaj finserv no cost emi option can i change it now, emi plan chosen while paying through the bajaj finserv no cost emi payment option cannot be changed once the order has been placed if your order hasnt been delivered yet you can cancel it and place a new order with the preferred emi plan certain items cannot be cancelled after 24 hours of placing the order
bajaj finserv emi,what are the emi plans available if i pay using the bajaj finserv payment mode,available emi plans can be checked by clicking no cost emi on the bajaj finserv card below the listed price of the item on the product page
bajaj finserv emi,how can i pay for my order using the bajaj finserv payment mode,while paying for your order choose bajaj finserv no cost emi as the payment option  select the emi plan of your choice from the available emi plans you can then complete the payment using your bajaj finserv emi card after otp verificationplease note the bajaj finserv emi option will not be available if your cart contains more than 1 item
bajaj finserv emi,how is bajaj finserv payment mode different from the credit card emi payment mode,in credit card emis banks charge an interest rate based on the emi plan chosen whereas bajaj finserv emi card holders are not charged any interest on the emi unlike other credit card based emi options you dont need to have a credit card to avail emi plans the emi payments are deducted by bajaj finserv from your bank account linked to the bajaj finserv emi card
bajaj finserv emi,what are the benefits of the bajaj finserv payment mode,with bajaj finserv you get a hasslefree payment experience with the following benefits no interest on emiszero processing  cancellation chargescomplete refund of the amount paid for your order if the item is returnedquick resolutions  endtoend support from bajaj finserv for any related concerns subject to the tcs of bajaj finservterms  conditions apply httpwwwflipkartcomshelpcancellationreturns
bajaj finserv emi, why cant i see bajaj finserv as a payment mode for some items,bajaj finserv no cost emi payment mode is available for select items with certain sellers please check the product page of the item youd like to shop for on our app to see if the option is available
bajaj finserv emi,is bajaj finserv payment mode available on both the website and app,yes the bajaj finserv payment mode is available both on the flipkart app and website
bajaj finserv emi,what is bajaj finserv payment mode,bajaj finserv no cost emi is a payment option on flipkart exclusively for bajaj finserv emi card holders this option enables you to pay for select items listed by specific sellers with an emi plan of your choice without any interest the monthly installments are deducted by bajaj finserv from the bank account linked to your bajaj finserv emi card 
bajaj finserv emi, how can i foreclose my emi with bajaj finserv,you can contact bajaj finserv at 0869801010 for help with the foreclosure of your emi with them
bajaj finserv emi,i did not get the otp while i was paying through the bajaj finserv no cost emi payment mode what should i do,please contact bajaj finserv at 08698010101 for support
bajaj finserv emi,if i have paid for my order using the bajaj finserv no cost emi payment option will i get a complete refund if the item is cancelled or returned,yes you will get a complete refund to the extent of the emis paid by you if any for the item in case it is canceled or returned however any amount charged as a penalty by bajaj finserv for the remaining emis cannot be refundedyou may reach bajaj finserv at 08698010101 for more details
bajaj finserv emi,my payment from the bajaj finserv no cost emi payment mode did not go through but the amount has been blocked on my card what should i do,please contact bajaj finserv at 08698010101 for support
bajaj finserv emi,can i foreclose my emi with bajaj finserv,yes you can foreclose your loan without any charges by logging in to your customer portal  experia
bajaj finserv emi,what is the credit limit on the bajaj finserv card for shopping on flipkart,the credit limit varies based on the type of bajaj finserv emi card you holdfor more details please check bajaj finserv support faqs here httpswwwbajajfinservininstaemicardyou can also contact bajaj finserv at 08698010101 for support
sbi preapproved loan,what are the emi plans available if i choose the preapproved emi payment option,you can choose from the following emi plans with zero processing fees6 months9 months12 monthsnote interest rate is 14 irrespective of the emi plan chosen and is subject to change based on sbis tcs
sbi preapproved loan,what is the preapproved emi limit for shopping on flipkart,please contact sbis customer care on 1800 425 3800 to know the credit limit you are eligible for shopping on flipkart
sbi preapproved loan,is sbis preapproved emi payment option available both on flipkarts website and app,this payment option is available on all our platforms  website app windows ios and android as well as through flipkart lite
sbi preapproved loan,can i get the refund for the item through any other mode if i have paid for my order using the preapproved emi payment option,no the refund mode cannot be changed for an order that was paid for using sbis preapproved emi payment option
sbi preapproved loan,can i buy any item using the preapproved emi payment option,you can buy any item with a minimum value of  5000 and a maximum value of  75000 from sellers on flipkart please note that the upper limit may vary as it depends on the credit amount you are eligible for please note the preapproved emi option is only available on select products
credit card no cost emi,i did not get an otp while paying through the credit card no cost emi payment mode what should i do,please contact your card issuing bank for otp support
credit card no cost emi,is credit card no cost emi payment mode available on flipkarts website and mobile app,yes credit card no cost emi payment mode is available on our website mobile app and flipkart lite our mobile site
